"","Postcode","Locality","Average net tax 1","Percentage of total Average Tax paid","Average Salary 1","Percentage of Total State Income","Average Net Tax","Average Salary"
"259",3116,"CHIRNSIDE PARK",13709,0.147749204,52760,0.16181538,0.102329498,0.345351283
"260",3121,"BURNLEY",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"261",3121,"BURNLEY NORTH",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"262",3121,"CREMORNE",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"263",3121,"RICHMOND",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"264",3121,"RICHMOND EAST",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"265",3121,"RICHMOND NORTH",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"266",3121,"RICHMOND SOUTH",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"267",3121,"VICTORIA GARDENS",22848,0.24624508,69668,0.213672363,0.232778555,0.582456878
"268",3122,"AUBURN SOUTH",36514,0.39353085,72936,0.223695347,0.427845499,0.628284953
"269",3122,"GLENFERRIE SOUTH",36514,0.39353085,72936,0.223695347,0.427845499,0.628284953
"270",3122,"HAWTHORN",36514,0.39353085,72936,0.223695347,0.427845499,0.628284953
"271",3122,"HAWTHORN NORTH",36514,0.39353085,72936,0.223695347,0.427845499,0.628284953
"272",3122,"HAWTHORN WEST",36514,0.39353085,72936,0.223695347,0.427845499,0.628284953
"273",3123,"AUBURN",34618,0.373096647,74284,0.227829675,0.400782209,0.647188333
"274",3123,"HAWTHORN EAST",34618,0.373096647,74284,0.227829675,0.400782209,0.647188333
"275",3124,"CAMBERWELL",34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
"276",3124,"CAMBERWELL NORTH",34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
"277",3124,"CAMBERWELL SOUTH",34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
"278",3124,"CAMBERWELL WEST",34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
"279",3124,"HARTWELL",34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
"280",3124,"MIDDLE CAMBERWELL",34686,0.373829519,79065,0.242493044,0.401752833,0.714233628
"281",3125,"BENNETTSWOOD",17173,0.185082579,54188,0.166195068,0.151774244,0.365376525
"282",3125,"BURWOOD",17173,0.185082579,54188,0.166195068,0.151774244,0.365376525
"283",3125,"SURREY HILLS SOUTH",17173,0.185082579,54188,0.166195068,0.151774244,0.365376525
"284",3126,"CAMBERWELL EAST",54251,0.584691958,88732,0.272141817,0.681021439,0.849796662
"285",3126,"CANTERBURY",54251,0.584691958,88732,0.272141817,0.681021439,0.849796662
"286",3127,"MONT ALBERT",30100,0.324403752,75335,0.231053101,0.336292786,0.661926798
"287",3127,"SURREY HILLS",30100,0.324403752,75335,0.231053101,0.336292786,0.661926798
"288",3127,"SURREY HILLS NORTH",30100,0.324403752,75335,0.231053101,0.336292786,0.661926798
"289",3128,"BOX HILL",15733,0.169562931,53833,0.16510628,0.131219846,0.360398261
"290",3128,"BOX HILL CENTRAL",15733,0.169562931,53833,0.16510628,0.131219846,0.360398261
"291",3128,"BOX HILL SOUTH",15733,0.169562931,53833,0.16510628,0.131219846,0.360398261
"292",3128,"HOUSTON",15733,0.169562931,53833,0.16510628,0.131219846,0.360398261
"293",3128,"WATTLE PARK",15733,0.169562931,53833,0.16510628,0.131219846,0.360398261
"294",3129,"BOX HILL NORTH",17855,0.192432857,58747,0.180177561,0.161509035,0.429308652
"295",3129,"KERRIMUIR",17855,0.192432857,58747,0.180177561,0.161509035,0.429308652
